Date,Close
2021-06-24,17440.099609375
2021-06-25,17517.599609375
2021-06-28,17533.55078125
2021-06-29,17476.69921875
2021-06-30,17506.69921875
2021-07-01,17504.25
2021-07-02,17479.05078125
2021-07-06,17538.599609375
2021-07-07,17609.19921875
2021-07-08,17510.849609375
2021-07-09,17573.30078125
2021-07-12,17601.05078125
2021-07-13,17605.80078125
2021-07-14,17647.94921875
2021-07-15,17676.05078125
2021-07-16,17720.349609375
2021-07-19,17636.69921875
2021-07-20,17598.19921875
2021-07-22,17704.349609375
2021-07-23,17755.849609375
2021-07-26,17779.349609375
2021-07-27,17710.900390625
2021-07-28,17675.05078125
2021-07-29,17686.599609375
2021-07-30,17762.400390625
2021-08-02,17957.650390625
2021-08-03,18190.30078125
2021-08-04,17999.19921875
2021-08-05,17989.05078125
2021-08-06,17998.30078125
2021-08-09,17986.44921875
2021-08-10,17942.94921875
2021-08-11,17995.400390625
2021-08-12,18073.55078125
2021-08-13,18122.099609375
2021-08-16,18112.099609375
2021-08-17,18172.650390625
2021-08-18,18239.69921875
2021-08-20,18152.80078125
2021-08-23,18140.25
2021-08-24,18219.349609375
2021-08-25,18264.75
2021-08-26,18278.150390625
2021-08-27,18452.0
2021-08-30,18625.25
2021-08-31,18717.5
2021-09-01,18767.44921875
2021-09-02,19041.25
2021-09-03,19070.650390625
2021-09-06,19098.75
2021-09-07,19137.30078125
2021-09-08,19074.75
2021-09-09,19283.5
2021-09-13,19328.900390625
2021-09-14,19317.650390625
2021-09-15,19418.650390625
2021-09-16,19439.94921875
2021-09-17,19286.19921875
2021-09-20,19174.69921875
2021-09-21,19236.849609375
2021-09-22,19294.69921875
2021-09-23,19442.150390625
2021-09-24,19335.25
2021-09-27,19306.849609375
2021-09-28,19269.55078125
2021-09-29,19180.650390625
2021-09-30,19220.599609375
2021-10-01,19145.849609375
2021-10-04,19296.25
2021-10-05,19425.650390625
2021-10-06,19255.05078125
2021-10-07,19458.80078125
2021-10-08,19445.400390625
2021-10-11,19482.400390625
2021-10-12,19694.25
2021-10-13,19653.150390625
2021-10-14,19756.5
2021-10-18,19969.55078125
2021-10-19,19712.0
2021-10-20,19409.55078125
2021-10-21,19298.30078125
2021-10-22,19010.69921875
2021-10-25,18817.55078125
2021-10-26,19012.650390625
2021-10-27,18997.55078125
2021-10-28,18873.75
2021-10-29,19069.94921875
2021-11-01,19230.150390625
2021-11-02,19348.55078125
2021-11-03,19280.099609375
2021-11-04,19376.19921875
2021-11-08,19650.55078125
2021-11-09,19632.650390625
2021-11-10,19573.099609375
2021-11-11,19421.55078125
2021-11-12,19544.099609375
2021-11-15,19644.80078125
2021-11-16,19700.55078125
2021-11-17,19691.94921875
2021-11-18,19308.19921875
2021-11-22,19095.30078125
2021-11-23,19357.05078125
2021-11-24,19167.44921875
2021-11-25,19206.599609375
2021-11-26,18695.900390625
2021-11-29,18614.349609375
2021-11-30,18540.55078125
2021-12-01,18727.099609375
2021-12-02,18866.900390625
2021-12-03,18813.900390625
2021-12-06,18571.69921875
2021-12-07,18751.30078125
2021-12-08,18976.0
2021-12-09,19136.650390625
2021-12-10,19224.80078125
2021-12-13,19220.75
2021-12-14,19243.0
2021-12-15,19130.650390625
2021-12-16,19088.80078125
2021-12-17,18705.30078125
2021-12-20,18355.900390625
2021-12-21,18649.80078125
2021-12-22,18811.900390625
2021-12-23,18949.349609375
2021-12-24,18833.44921875
2021-12-27,18817.55078125
2021-12-28,18976.099609375
2021-12-29,18966.650390625
2021-12-30,18934.44921875
2021-12-31,19225.80078125
2022-01-03,19353.80078125
2022-01-04,19387.69921875
2022-01-05,19445.80078125
2022-01-06,19402.650390625
2022-01-07,19473.80078125
2022-01-10,19564.80078125
2022-01-11,19465.80078125
2022-01-12,19573.400390625
2022-01-13,19648.05078125
2022-01-14,19560.099609375
2022-01-17,19601.19921875
2022-01-18,19251.25
2022-01-19,19130.400390625
2022-01-20,19035.849609375
2022-01-21,19019.150390625
2022-01-24,18480.69921875
2022-01-25,18809.80078125
2022-01-27,18629.099609375
2022-01-28,18681.19921875
2022-01-31,18827.19921875
2022-02-01,19113.0
2022-02-02,19202.849609375
2022-02-03,19135.349609375
2022-02-04,19108.349609375
2022-02-07,18905.44921875
2022-02-08,18875.69921875
2022-02-09,19158.849609375
2022-02-10,19183.94921875
2022-02-11,18923.75
2022-02-14,18379.0
2022-02-15,18804.849609375
2022-02-16,18773.94921875
2022-02-17,18811.5
2022-02-18,18671.849609375
2022-02-21,18615.69921875
2022-02-22,18552.30078125
2022-02-23,18596.349609375
2022-02-24,17886.19921875
2022-02-25,18259.80078125
2022-02-28,18357.849609375
2022-03-02,18216.94921875
2022-03-03,17995.150390625
2022-03-04,17557.349609375
2022-03-07,17066.099609375
2022-03-08,17133.44921875
2022-03-09,17403.05078125
2022-03-10,17746.05078125
2022-03-11,17695.599609375
2022-03-14,17727.650390625
2022-03-15,17640.099609375
2022-03-16,17942.19921875
2022-03-17,18183.19921875
2022-03-21,18066.25
2022-03-22,17949.650390625
2022-03-23,17900.80078125
2022-03-24,17871.099609375
2022-03-25,17713.55078125
2022-03-28,17698.0
2022-03-29,17817.44921875
2022-03-30,17970.44921875
2022-03-31,18107.30078125
2022-04-01,18270.80078125
2022-04-04,18524.099609375
2022-04-05,18660.80078125
2022-04-06,18711.94921875
2022-04-07,18666.599609375
2022-04-08,18802.599609375
2022-04-11,18859.30078125
2022-04-12,18632.349609375
2022-04-13,18627.44921875
2022-04-18,18583.30078125
2022-04-19,18244.650390625
2022-04-20,18483.0
2022-04-21,18678.599609375
2022-04-22,18552.5
2022-04-25,18289.69921875
2022-04-26,18499.69921875
2022-04-27,18387.5
2022-04-28,18588.900390625
2022-04-29,18456.75
2022-05-02,18360.900390625
2022-05-04,17984.599609375
2022-05-05,17974.25
2022-05-06,17759.05078125
2022-05-09,17547.599609375
2022-05-10,17507.0
2022-05-11,17406.400390625
2022-05-12,17162.69921875
2022-05-13,17199.69921875
2022-05-16,17267.69921875
2022-05-17,17678.599609375
2022-05-18,17761.0
2022-05-19,17378.650390625
2022-05-20,17772.099609375
2022-05-23,17912.80078125
2022-05-24,17814.599609375
2022-05-25,17651.599609375
2022-05-26,17787.5
2022-05-27,17989.05078125
2022-05-30,18279.099609375
2022-05-31,18355.30078125
2022-06-01,18193.30078125
2022-06-02,18283.69921875
2022-06-03,18006.69921875
2022-06-06,17944.900390625
2022-06-07,17749.25
2022-06-08,17689.900390625
2022-06-09,17726.099609375
2022-06-10,17676.75
2022-06-13,17476.80078125
2022-06-14,17404.80078125
2022-06-15,17411.099609375
2022-06-16,17174.25
2022-06-17,16919.05078125
2022-06-20,16897.150390625
2022-06-21,17157.80078125
2022-06-22,16983.849609375
2022-06-23,17296.94921875
2022-06-24,17481.150390625
2022-06-27,17649.900390625
2022-06-28,17705.5
2022-06-29,17614.599609375
2022-06-30,17594.650390625
2022-07-01,17727.599609375
2022-07-04,17974.349609375
2022-07-05,17943.650390625
2022-07-06,18428.150390625
2022-07-07,18489.599609375
2022-07-08,18476.900390625
2022-07-11,18523.0
2022-07-12,18329.25
2022-07-13,18374.099609375
2022-07-14,18409.25
2022-07-15,18663.94921875
2022-07-18,18691.400390625
2022-07-19,18700.75
2022-07-20,18880.44921875
2022-07-21,19082.150390625
2022-07-22,19140.650390625
2022-07-25,19030.94921875
2022-07-26,18770.900390625
2022-07-27,18844.900390625
2022-07-28,18969.69921875
2022-07-29,19200.55078125
2022-08-01,19334.400390625
2022-08-02,19423.94921875
2022-08-03,19231.400390625
2022-08-04,19323.650390625
2022-08-05,19294.30078125
2022-08-08,19329.400390625
2022-08-10,19294.75
2022-08-11,19330.80078125
2022-08-12,19311.55078125
2022-08-16,19610.150390625
2022-08-17,19677.44921875
2022-08-18,19669.19921875
2022-08-19,19514.099609375
2022-08-22,19303.400390625
2022-08-23,19341.900390625
2022-08-24,19412.94921875
2022-08-25,19390.94921875
2022-08-26,19419.099609375
2022-08-29,19407.400390625
2022-08-30,19768.650390625
2022-09-01,19748.150390625
2022-09-02,19701.69921875
2022-09-05,19648.69921875
2022-09-06,19612.69921875
2022-09-07,19655.900390625
2022-09-08,19726.5
2022-09-09,19744.349609375
2022-09-12,19843.55078125
2022-09-13,20007.30078125
2022-09-14,20165.55078125
2022-09-15,20234.44921875
2022-09-16,19678.349609375
2022-09-19,19857.19921875
2022-09-20,19987.55078125
2022-09-21,19928.849609375
2022-09-22,20044.94921875
2022-09-23,19855.900390625
2022-09-26,19438.05078125
2022-09-27,19455.19921875
2022-09-28,19428.69921875
2022-09-29,19465.650390625
2022-09-30,19707.75
2022-10-03,19343.05078125
2022-10-04,19681.150390625
2022-10-06,19786.55078125
2022-10-07,19849.099609375
2022-10-10,19764.349609375
2022-10-11,19325.5
2022-10-12,19486.69921875
2022-10-13,19416.25
2022-10-14,19403.94921875
2022-10-17,19480.44921875
2022-10-18,19607.900390625
2022-10-19,19602.900390625
2022-10-20,19637.099609375
2022-10-21,19574.80078125
2022-10-24,19655.30078125
2022-10-25,19584.05078125
2022-10-27,19635.349609375
2022-10-28,19742.099609375
2022-10-31,19909.599609375
2022-11-01,20036.69921875
2022-11-02,19968.849609375
2022-11-03,19946.44921875
2022-11-04,20052.099609375
2022-11-07,20213.05078125
2022-11-09,20136.900390625
2022-11-10,20029.150390625
2022-11-11,20072.30078125
2022-11-14,20110.0
2022-11-15,20143.25
2022-11-16,20079.099609375
2022-11-17,19980.30078125
2022-11-18,19912.650390625
2022-11-21,19858.849609375
2022-11-22,19875.849609375
2022-11-23,19864.900390625
2022-11-24,19980.0
2022-11-25,20032.44921875
2022-11-28,20078.55078125
2022-11-29,20223.25
2022-11-30,20371.30078125
2022-12-01,20451.94921875
2022-12-02,20394.44921875
2022-12-05,20361.900390625
2022-12-06,20345.30078125
2022-12-07,20404.55078125
2022-12-08,20476.69921875
2022-12-09,20493.44921875
2022-12-12,20543.400390625
2022-12-13,20529.30078125
2022-12-14,20502.349609375
2022-12-15,20277.849609375
2022-12-16,20094.75
2022-12-19,20342.5
2022-12-20,20281.05078125
2022-12-21,20043.55078125
2022-12-22,19980.05078125
2022-12-23,19503.80078125
2022-12-27,19761.849609375
2022-12-28,19774.19921875
2022-12-29,19748.099609375
2022-12-30,19701.30078125
2023-01-02,19720.55078125
2023-01-03,19719.099609375
2023-01-04,19610.650390625
2023-01-05,19809.75
2023-01-06,19779.94921875
2023-01-09,19926.25
2023-01-10,19844.150390625
2023-01-11,19802.400390625
2023-01-12,19808.599609375
2023-01-13,19831.69921875
2023-01-16,19741.900390625
2023-01-17,19863.400390625
2023-01-18,19969.25
2023-01-19,19910.75
2023-01-20,19673.349609375
2023-01-23,19692.55078125
2023-01-24,19732.400390625
2023-01-25,19500.75
2023-01-27,19199.400390625
2023-01-30,19200.599609375
2023-01-31,19364.900390625
2023-02-01,19113.599609375
2023-02-02,19358.650390625
2023-02-03,19486.150390625
2023-02-06,19531.80078125
2023-02-07,19531.400390625
2023-02-08,19595.0
2023-02-09,19570.94921875
2023-02-10,19561.69921875
2023-02-13,19434.69921875
2023-02-14,19415.599609375
2023-02-15,19524.400390625
2023-02-16,19601.349609375
2023-02-17,19480.30078125
2023-02-20,19372.69921875
2023-02-21,19377.69921875
2023-02-22,19221.19921875
2023-02-23,19188.099609375
2023-02-24,19137.0
2023-02-27,18950.599609375
2023-02-28,19009.599609375
2023-03-01,19175.19921875
2023-03-02,19061.099609375
2023-03-03,19228.05078125
2023-03-06,19267.5
2023-03-08,19348.25
2023-03-09,19221.55078125
2023-03-10,19166.0
2023-03-13,18960.0
2023-03-14,18875.94921875
2023-03-15,18829.30078125
2023-03-16,18953.0
2023-03-17,19018.94921875
2023-03-20,18934.400390625
2023-03-21,18925.150390625
2023-03-22,18952.849609375
2023-03-23,18947.80078125
2023-03-24,18848.44921875
2023-03-27,18786.80078125
2023-03-28,18725.69921875
2023-03-29,18941.0
2023-03-31,19134.900390625
2023-04-03,19265.69921875
2023-04-05,19319.55078125
2023-04-06,19355.55078125
2023-04-10,19301.75
2023-04-11,19327.30078125
2023-04-12,19333.5
2023-04-13,19317.69921875
2023-04-17,19420.5
2023-04-18,19408.150390625
2023-04-19,19363.80078125
2023-04-20,19325.349609375
2023-04-21,19245.30078125
2023-04-24,19299.849609375
2023-04-25,19404.849609375
2023-04-26,19559.349609375
2023-04-27,19593.099609375
2023-04-28,19811.55078125
2023-05-02,19854.25
2023-05-03,19905.75
2023-05-04,20018.05078125
2023-05-05,20102.400390625
2023-05-08,20236.30078125
2023-05-09,20238.94921875
2023-05-10,20345.05078125
2023-05-11,20511.25
2023-05-12,20535.849609375
2023-05-15,20580.849609375
2023-05-16,20575.900390625
2023-05-17,20587.400390625
2023-05-18,20450.69921875
2023-05-19,20396.599609375
2023-05-22,20364.349609375
2023-05-23,20369.05078125
2023-05-24,20352.0
2023-05-25,20419.55078125
2023-05-26,20667.75
2023-05-29,20676.94921875
2023-05-30,20743.900390625
2023-05-31,20801.400390625
2023-06-01,20835.80078125
2023-06-02,20986.55078125
2023-06-05,21031.599609375
2023-06-06,21121.400390625
2023-06-07,21414.19921875
2023-06-08,21249.650390625
2023-06-09,21228.099609375
2023-06-12,21279.19921875
2023-06-13,21480.05078125
2023-06-14,21609.19921875
2023-06-15,21616.849609375
2023-06-16,21782.650390625
2023-06-19,21729.400390625
2023-06-20,21782.30078125
2023-06-21,21729.150390625
2023-06-22,21518.900390625
2023-06-23,21373.25
2023-06-26,21560.25
2023-06-27,21572.150390625
2023-06-28,21719.5
2023-06-30,21839.55078125
2023-07-03,21779.05078125
2023-07-04,21742.55078125
2023-07-05,22031.400390625
2023-07-06,22122.75
2023-07-07,21883.94921875
2023-07-10,21735.400390625
2023-07-11,21962.69921875
2023-07-12,22018.650390625
2023-07-13,21897.69921875
2023-07-14,22089.150390625
2023-07-17,22197.849609375
2023-07-18,22159.05078125
2023-07-19,22182.75
2023-07-20,22204.44921875
2023-07-21,22170.5
2023-07-24,22065.599609375
2023-07-25,22095.25
2023-07-26,22188.400390625
2023-07-27,22190.19921875
2023-07-28,22364.150390625
2023-07-31,22491.0
2023-08-01,22440.75
2023-08-02,22257.94921875
2023-08-03,22105.55078125
2023-08-04,22042.94921875
2023-08-07,22044.25
2023-08-08,22020.44921875
2023-08-09,22007.30078125
2023-08-10,21884.55078125
2023-08-11,21743.150390625
2023-08-14,21609.349609375
2023-08-16,21662.69921875
2023-08-17,21679.19921875
2023-08-18,21684.44921875
2023-08-21,21797.44921875
2023-08-22,21862.099609375
2023-08-23,21889.0
2023-08-24,21962.05078125
2023-08-25,21768.5
2023-08-28,21822.900390625
2023-08-29,21862.30078125
2023-08-30,21975.599609375
2023-08-31,21926.650390625
2023-09-01,22038.849609375
2023-09-04,22127.400390625
2023-09-05,22215.349609375
2023-09-06,22307.099609375
2023-09-07,22318.44921875
2023-09-08,22399.849609375
2023-09-11,22608.400390625
2023-09-12,22276.400390625
2023-09-13,22208.44921875
2023-09-14,22306.349609375
2023-09-15,22338.05078125
2023-09-18,22326.80078125
2023-09-20,22146.849609375
2023-09-21,22024.30078125
2023-09-22,22046.349609375
2023-09-25,22074.94921875
2023-09-26,22111.94921875
2023-09-27,22174.150390625
2023-09-28,21777.80078125
2023-09-29,21962.80078125
2023-10-03,21871.400390625
2023-10-04,21823.19921875
2023-10-05,21901.650390625
2023-10-06,21989.599609375
2023-10-09,21872.0
2023-10-10,22054.69921875
2023-10-11,22225.349609375
2023-10-12,22322.400390625
2023-10-13,22345.599609375
2023-10-16,22319.349609375
2023-10-17,22335.150390625
2023-10-18,22216.55078125
2023-10-19,22289.849609375
2023-10-20,22108.5
2023-10-23,21776.55078125
2023-10-25,21774.25
2023-10-26,21524.05078125
2023-10-27,21741.05078125
2023-10-30,21684.75
2023-10-31,21713.25
2023-11-01,21573.44921875
2023-11-02,21817.5
2023-11-03,21897.44921875
2023-11-06,22015.30078125
2023-11-07,22060.05078125
2023-11-08,22231.30078125
2023-11-09,22077.400390625
2023-11-10,22076.599609375
2023-11-13,22057.099609375
2023-11-15,22186.650390625
2023-11-16,22260.0
2023-11-17,22413.5
2023-11-20,22420.349609375
2023-11-21,22442.599609375
2023-11-22,22401.30078125
2023-11-23,22465.25
2023-11-24,22368.94921875
2023-11-28,22439.44921875
2023-11-29,22526.30078125
2023-11-30,22664.849609375
2023-12-01,22852.150390625
2023-12-04,23068.0
2023-12-05,23246.25
2023-12-06,23292.0
2023-12-07,23301.599609375
2023-12-08,23148.80078125
2023-12-11,23265.150390625
2023-12-12,23083.099609375
2023-12-13,23237.400390625
2023-12-14,23333.349609375
2023-12-15,23328.349609375
2023-12-18,23485.25
2023-12-19,23579.099609375
2023-12-20,23127.19921875
2023-12-21,23289.80078125
2023-12-22,23564.25
2023-12-26,23718.099609375
2023-12-27,23846.150390625
2023-12-28,23956.19921875
2023-12-29,24208.349609375
2024-01-02,24154.30078125
2024-01-03,24056.69921875
2024-01-04,24219.19921875
2024-01-05,24208.150390625
2024-01-08,23887.099609375
2024-01-09,23924.150390625
2024-01-10,23925.75
2024-01-11,24006.400390625
2024-01-12,24034.349609375
2024-01-15,24139.75
2024-01-16,24077.25
2024-01-17,23920.099609375
2024-01-18,23860.5
2024-01-19,24162.80078125
2024-01-23,23579.599609375
2024-01-24,23972.400390625
2024-01-25,23917.75
2024-01-29,24169.25
2024-01-30,24039.69921875
2024-01-31,24306.349609375
2024-02-01,24221.900390625
2024-02-02,24309.150390625
