,Close
2020-12-24,19521.2
2020-12-28,19733.9
2020-12-29,19705.0
2020-12-30,19770.7
2020-12-31,19836.8
2021-01-01,20096.3
2021-01-04,20326.15
2021-01-05,20497.4
2021-01-06,20531.3
2021-01-07,20666.55
2021-01-08,20718.5
2021-01-11,20606.4
2021-01-12,20560.95
2021-01-13,20389.75
2021-01-14,20502.3
2021-01-15,20265.05
2021-01-18,19894.6
2021-01-19,20149.95
2021-01-20,20292.05
2021-01-21,20188.1
2021-01-22,19951.0
2021-01-25,19835.45
2021-01-27,19737.85
2021-01-28,19571.6
2021-01-29,19275.45
2021-02-01,19560.3
2021-02-02,19832.55
2021-02-03,20196.8
2021-02-04,20489.25
2021-02-05,20500.05
2021-02-08,20671.8
2021-02-09,20716.9
2021-02-10,20921.2
2021-02-11,21215.45
2021-02-12,21163.7
2021-02-15,21342.0
2021-02-16,21498.9
2021-02-17,21484.75
2021-02-18,21733.65
2021-02-19,21423.85
2021-02-22,21219.55
2021-02-23,21447.7
2021-02-24,21560.25
2021-02-25,21643.7
2021-02-26,21475.1
2021-03-01,21856.7
2021-03-02,22119.2
2021-03-03,22552.95
2021-03-04,22669.25
2021-03-05,22305.55
2021-03-08,22289.1
2021-03-09,22215.1
2021-03-10,22599.15
2021-03-12,22517.8
2021-03-15,22460.35
2021-03-16,22616.05
2021-03-17,22131.2
2021-03-18,21834.75
2021-03-19,22161.7
2021-03-22,22476.45
2021-03-23,22819.95
2021-03-24,22517.65
2021-03-25,22007.8
2021-03-26,22233.8
2021-03-30,22563.85
2021-03-31,22648.2
2021-04-01,23287.5
2021-04-05,23512.4
2021-04-06,23993.6
2021-04-07,24165.7
2021-04-08,24304.6
2021-04-09,24657.5
2021-04-12,23387.55
2021-04-13,23601.4
2021-04-15,23702.65
2021-04-16,24108.9
2021-04-19,23778.2
2021-04-20,23834.3
2021-04-22,24055.55
2021-04-23,24120.2
2021-04-26,24217.25
2021-04-27,24565.95
2021-04-28,24697.75
2021-04-29,24681.25
2021-04-30,24547.7
2021-05-03,25016.05
2021-05-04,24859.5
2021-05-05,25032.9
2021-05-06,25257.25
2021-05-07,25207.3
2021-05-10,25269.95
2021-05-11,25220.75
2021-05-12,24986.6
2021-05-14,24543.5
2021-05-17,25122.35
2021-05-18,25521.7
2021-05-19,25588.35
2021-05-20,25527.75
2021-05-21,25686.6
2021-05-24,25975.6
2021-05-25,25878.65
2021-05-26,25885.95
2021-05-27,26167.15
2021-05-28,26096.0
2021-05-31,26292.35
2021-06-01,26309.2
2021-06-02,26784.35
2021-06-03,27018.2
2021-06-04,27226.5
2021-06-07,27381.5
2021-06-08,27765.05
2021-06-09,27406.55
2021-06-10,27771.2
2021-06-11,27843.4
2021-06-14,27557.3
2021-06-15,27537.15
2021-06-16,27143.6
2021-06-17,26737.9
2021-06-18,26596.4
2021-06-21,26968.55
2021-06-22,27204.0
2021-06-23,26953.3
2021-06-24,26905.5
2021-06-25,27106.2
2021-06-28,27098.15
2021-06-29,27075.3
2021-06-30,27135.0
2021-07-01,27096.4
2021-07-02,27112.05
2021-07-05,27039.45
2021-07-06,26977.45
2021-07-07,27007.7
2021-07-08,26989.6
2021-07-09,27146.2
2021-07-12,27264.15
2021-07-13,27407.45
2021-07-14,27522.8
2021-07-15,28137.9
2021-07-16,28361.35
2021-07-19,28055.7
2021-07-20,27691.55
2021-07-22,28359.25
2021-07-23,28522.8
2021-07-26,28502.15
2021-07-27,28468.9
2021-07-28,28289.35
2021-07-29,28418.85
2021-07-30,28513.05
2021-08-02,28778.8
2021-08-03,28862.5
2021-08-04,28762.0
2021-08-05,28791.1
2021-08-06,28932.85
2021-08-09,28596.7
2021-08-10,28003.4
